400, 1, 1, ebola
400, 2, 1, ebola
400, 2, 8, ebola viruses
401, 1, 1, cholera
401, 1, 6, alimentary canal|skin
401, 1, 8, cholera poison
401, 2, 1, cholera
401, 2, 6, lungs
401, 2, 8, effluvia
401, 2, 9, surrounding(air)
401, 3, 1, cholera
401, 3, 2, true hemorrhage| debility| faintness| coldness
401, 3, 6, pulmonary capillaries| arteries| lungs| bowels
401, 3, 9, through(capillaries)
401, 4, 1, cholera
401, 4, 2, illness| dizziness| faintness| feeling of sinking
401, 4, 6, lungs| alimentary canal| mucous membrane| stomach| bowels
401, 5, 1, cholera
401, 5, 7, india| madras| asia
401, 5, 9, part
401, 6, 1, cholera
401, 6, 7, jaulnah| trichinopoly
401, 6, 9, from(jaulnah)| to(trichinopoly)
402, 1, 1, ebola
402, 1, 7, west africa| united states| emory university hospital| atlanta| nebraska medical center
402, 1, 9, in (west africa)| over (the summer)
402, 2, 1, ebola
402, 2, 7, ohio| texas| maryland| georgia
402, 2, 9, on (an airplane)| to (texas)| in (maryland)
402, 3, 1, ebola
402, 3, 7, new york|west africa|new york city health and hospitals corporation
402, 3, 8, ebola virus
402, 3, 9, from(west africa)|for(ebola)|in (new york).
402, 4, 1, ebola
402, 4, 7, ohio department of health liberia sierra leona guinea united states newyork
402, 4, 9, in (liberia)
403, 1, 1, ebola
403, 1, 4, curb
403, 1, 5, isolating troops returning from their mission|
403, 1, 7, west africa| sierra leone| new jersey
403, 1, 8, ebola virus
403, 1, 9, in(sierra leone)
403, 2, 1, ebola
403, 2, 4, treating ebola patients
403, 2, 5, daily monitoring without isolation
403, 2, 7, united states| u.s.| west africa
403, 2, 8, ebola infection
403, 2, 9, in(west africa)
403, 3, 1, ebola
403, 3, 5, protective gear
403, 3, 6, bodily fluids
403, 3, 8, bodily fluid| infected person
403, 4, 1, ebola
403, 4, 5, impose mandatory quarantines
403, 4, 7, new york| new jersey| west africa
403, 4, 8, ebola virus
403, 4, 9, outside(west africa)| from(ebola-affected countrie)
403, 5, 1, ebola
403, 5, 7, new jersey| liberia| sierra leone| guinea
403, 5, 9, in(liberia)
404, 1, 1, ebola
404, 1, 7, united states new york guinea west africa.
404, 2, 1, ebola
404, 2, 2, died
404, 2, 7, united states
405, 1, 1, malaria
405, 1, 8, bite of an infected mosquito | malaria parasites
405, 2, 1, malaria
405, 2, 5, protect yourself from mosquito bite
405, 2, 8, plasmodium | bite of an infected mosquito
405, 3, 1, malaria
405, 3, 4, chemoprophylaxis
405, 3, 5, protect yourself from mosquito bites particularly from sunset to sunrise | travellers should consult a health care provider| visit a travel health clinic |
405, 3, 7, sub-saharan africa |areas in north africa | south asia| southeast asia| parts of east asia | papua new guinea | small islands in the south pacific/oceania region | areas in the middle east and eastern europe
405, 3, 9, in(sub-saharan africa) | in(north america) | in(central america) | in(south america) | in(south pacific/oceania region) | in(middle east) | in(eastern europe)
405, 4, 1, malaria
405, 4, 4, chemoprophylaxis
405, 4, 8, bite of an infected mosquito
406, 1, 1, cholera
406, 1, 7, haiti|leogane|gressier|university of florida(gainesville| fl| usa)|research laboratory
406, 1, 8, v. cholerae o1
406, 1, 9, in(haiti)|near(the towns of leogane and gressier)|where(university of florida(gainesville| fl| usa))
406, 2, 1, cholera
406, 2, 7, haiti|gressier|leogane
406, 2, 8, vibrio cholerae o1
406, 3, 1, cholera
406, 3, 8, v. cholerae o1
407, 1, 1, hepatitis
407, 1, 2, development of jaundice| liver disease
407, 1, 7, liver | north america| western and northern europe| australia| and parts of south america
407, 2, 1, hepatitis
407, 2, 2, development of jaundice| liver disease
407, 2, 7, liver | south-east asia | the pacific basin | sub-saharan africa| the amazon basin| parts of the middle east| the central asian republics
407, 3, 1, hepatitis
407, 3, 2, development of jaundice| liver disease
407, 3, 7, liver | china| senegal| and thailand | panama| new guinea| solomon islands| greenland| alaskan indians
407, 3, 9, in(china) | in(panama)
408, 1, 1, cholera
408, 1, 2, watery diarrhea | vomiting | nausea| vomiting| cramps| fever or blood in the stool
408, 1, 4, ciprofloxacin (cipro)| levofloxacin (levaquin)| rifaximin (xifaxan)| or azithromycin (zithromax). loperamide (imodium) | diphenoxylate (lomotil)
408, 1, 5, bring along an antibiotic and an antidiarrheal drug | carefully observe food and water precautions | do not drink tap water unless it has been boiled| filtered| or chemically disinfected | do not drink unbottled beverages or drinks with ice | do not eat fruits or vegetables unless they have been peeled or cooked | avoid cooked foods that are no longer piping hot | avoid unpasteurized milk and any products that might have been made from unpasteurized milk| such as ice cream | avoid food and beverages obtained from street vendors | do not eat raw or undercooked meat or fish
408, 1, 7, africa | kenya
408, 1, 8, contaminated drinking water| typically in situations of poverty| overcrowding| and poor sanitation
409, 1, 1, ebola
409, 1, 2, intravascular coagulation|viral hemorrhagic fever|respiratory problems| severe bleeding| kidney problems| and shock
409, 1, 6, heart|lungs|brain|liver and kidneys.
409, 1, 8, ebola virus
410, 1, 1, ebola
410, 1, 7, west africa
410, 1, 9, from(west africa)
410, 2, 1, ebola
410, 2, 5, quarantine doctors and nurses
410, 2, 7, united states| west africa
410, 2, 9, from(west africa)
410, 3, 1, ebola
410, 3, 5, quarantined for three weeks
410, 3, 7, new jersey| u.s.| africa| home
410, 3, 9, in(africa)| at(home)
411, 1, 1, ebola
411, 1, 2, organ failure|fever|internal bleeding| diarrhea and vomiting
411, 1, 6, liver cells|
412, 1, 1, ebola
412, 1, 7, spain|united states of america|liberia|mali|guinea|africa|texas.
412, 1, 8, ebola virus
412, 1, 9, from(liberia)|in(the united states of america)|of(africa).
412, 2, 1, ebola
412, 2, 7, guinea|sierra leone|liberia|conakry
412, 2, 8, ebola virus
412, 2, 9, in (four southeastern districts)|spread to(conakry)
412, 3, 1, ebola
412, 3, 5, safe burialor cremation of bodies.
412, 3, 7, ebola treatment centres
412, 3, 8, ebola virus
412, 3, 9, in (guinea)|across(land borders)|by(air)|to(sierra leone)
412, 4, 1, ebola
412, 4, 7, who
412, 5, 1, ebola
412, 5, 7, boende district| democratic republic of the congo|west africa
412, 5, 8, ebola virus|zaire ebola
412, 5, 9, in (west africa)
412, 6, 1, ebola virus disease
412, 6, 7, guinea|sierra leone|nigeria|senegal|liberia|united states|spain|democratic republic of the congo
412, 6, 9, in(guinea)|in(nigeria)|in(senegal)|to(liberia)|in(united states)|in(democratic republic of the congo)
413, 1, 1, ebola measles influenza
413, 1, 2, illness weakness| fever| aches| diarrhea| vomiting stomach pain rash| red eyes| chest pain| throat soreness| difficulty breathing or swallowing bleeding
413, 1, 6, throat stomach eyes chest
413, 2, 1, ebola
413, 2, 8, ebola virus|fruit bats
413, 3, 1, ebola
413, 3, 7, guniea|liberia|sierra leone|pasteur institute in lyon|france
413, 3, 8, zaire ebolavirus
413, 3, 9, in (guinea)
413, 4, 1, ebola
413, 4, 7, democratic republic of the congo (drc)|gabon|south sudan|ivory coast|uganda|republic of the congo (roc)|guinea |liberia|world health organization
413, 4, 8, ebola virus
413, 4, 9, in (the countires)
413, 5, 1, ebola
413, 5, 7, northern zaire|democratic republic of the congo|central africa|southern sudan|ebola river
413, 5, 9, in (northern zaire)|after (the ebola river)
414, 1, 1, typhus
414, 1, 2, feverish
414, 1, 3, examining the tongues
414, 1, 6, tongue
414, 1, 7, ship| quebec| grosse isle
414, 1, 9, on(quebec)| at(grosse isle)
414, 2, 1, typhus
414, 2, 5, making it necessary for the emigrants to stay on board their ships| washing and airing out the ships
414, 2, 8, contagion
414, 3, 1, typhus
414, 3, 7, canada| grosse isle| montreal| kingston| toronto and st. john
414, 3, 9, in(canada)
414, 4, 1, typhus
414, 4, 2, ship fever
414, 4, 5, lack of suitable preparations
414, 4, 7, sheds| montreal| grosse isle| quebec
414, 4, 9, in(montreal)
414, 5, 1, typhus| cholera
414, 5, 7, gross isle| quebec| the gulf of st. lawrence| home
414, 5, 8, cholera epidemic
414, 5, 9, in(gulf of st. lawrence)
415, 1, 1, ebola
415, 1, 8, ebola zaire|ebola reston
416, 1, 1, ebola
416, 1, 7, belgium| saint pierre university
416, 1, 9, in(belgium)| admitted(saint pierre )
417, 1, 1, cholera | diarrheal illnesses | typhoid and dysentery
417, 1, 4, oral rehydration salts
417, 1, 5, clean drinking water | sanitation | clean hands prior to mealtime | uncontaminated food supply
417, 1, 7, asia| africa| and the america | haiti
417, 1, 8, lack of clean water and sanitation
417, 1, 9, in(asia)
417, 2, 1, cholera
417, 2, 4, oral rehydration salts
417, 2, 5, providing clean drinking water
417, 2, 7, southeastern asia | central asia
417, 2, 8, lack of clean water and sanitation i
