1, 400, 1, 0, ebola;
1, 428, 1, 1, ebola;blood clotting and hemorrhaging;every organ and tissue| except the bones and skeletal muscles;ebola virus;
1, 400, 2, 0, ebola;ebola viruses;
1, 517, 1, 1, ebola;sudden increase in body temperature| accompanied by strong headaches| joint and muscle pain|decreased appetite and sore throat.;head|muscle|throat;ebola virus;
1, 583, 1, 1, ebola;eyes| nose| mouth| or broken skin;ebola virus;spread (through sticks);
1, 517, 6, 1, ebola;tiny white blisters|red spots|rips in the skinand spontaneous bleeding.;eyes| nose and mouth;ebola virus;
1, 1093, 1, 1, ebola;bleeding.;lymph nodes| spleen and liver;inside (of blood vessels);
2, 401, 1, 0, cholera;alimentary canal|skin;cholera poison;
2, 401, 2, 1, cholera;lungs;effluvia;surrounding(air);
2, 401, 3, 1, cholera;true hemorrhage| debility| faintness| coldness;pulmonary capillaries| arteries| lungs| bowels;through(capillaries);
2, 620, 1, 0, cholera;erythematous inflammation| catarrh| excoriations| ulceration;brain| digestive organs;
2, 401, 4, 0, cholera;illness| dizziness| faintness| feeling of sinking;lungs| alimentary canal| mucous membrane| stomach| bowels;
2, 401, 5, 0, cholera;india| madras| asia;part;
2, 401, 6, 0, cholera;jaulnah| trichinopoly;from(jaulnah)| to(trichinopoly);
3, 402, 1, 0, ebola;west africa| united states| emory university hospital| atlanta| nebraska medical center;in (west africa)| over (the summer);
3, 402, 2, 0, ebola;ohio| texas| maryland| georgia;on (an airplane)| to (texas)| in (maryland);
3, 595, 1, 0, ebola;nebraska medical center| west africa| omaha medical center;at (nebraska medical center)| from (west africa);
3, 402, 4, 0, ebola;ohio department of health liberia sierra leona guinea united states newyork;in (liberia);
3, 888, 1, 0, ebola;west africa| pennsylvania;in ( pennsylvania);
3, 980, 3, 0, ebola;dallas| emory university hospital| atlanta| cleveland| nih hospital| maryland;from (emory university hospital)| in atlanta| to (cleveland);
3, 888, 2, 0, ebola;fever| vomiting;
4, 403, 1, 1, ebola;curb;isolating troops returning from their mission|;west africa| sierra leone| new jersey;ebola virus;in(sierra leone);
4, 403, 2, 1, ebola;treating ebola patients;daily monitoring without isolation;united states| u.s.| west africa;ebola infection;in(west africa);
4, 403, 3, 1, ebola;protective gear;bodily fluids;bodily fluid| infected person;
4, 403, 4, 1, ebola;impose mandatory quarantines;new york| new jersey| west africa;ebola virus;outside(west africa)| from(ebola-affected countrie);
4, 695, 2, 1, ebola;fever;took her temperature;specially equipped medical transport vehicle;west africa| portland| providence milwaukie hospital;to(portland)| from(west africa);
4, 829, 1, 1, ebola;fever| vomiting| diarrhea;u.s.| west africa;in(west africa)| to(u.s.);
4, 403, 5, 0, ebola;new jersey| liberia| sierra leone| guinea;in(liberia);
5, 404, 1, 0, ebola;united states new york guinea west africa.;
5, 413, 1, 0, ebola measles influenza;illness weakness| fever| aches| diarrhea| vomiting stomach pain rash| red eyes| chest pain| throat soreness| difficulty breathing or swallowing bleeding;throat stomach eyes chest;
5, 943, 1, 0, ebola;rash| red eyes| chest pain| throat soreness| difficulty breathing swallowing bleeding;europe united states west africa united states omaha;
5, 980, 1, 1, ebola;ill respiratory problems illness;kidney;u.s. sierra leone nebraska medical center omaha dallas liberia;
5, 980, 2, 0, ebola;immunity;u.s sierra leone| guinea| and liberia;
5, -1, 1, 1, ebola;illness;vaccines;dallas united states bellevue hospital new york emory university hospital atlanta;
5, 1065, 1, 0, ebola;u.s.;
6, 405, 1, 0, malaria;bite of an infected mosquito | malaria parasites;
6, 461, 1, 1, malaria;chloroquine| sulfadoxine-pyrimethamine| mefloquine| atovaquone| atovaquone-proguanil| quinine| doxycycline;africa| asia| middle east| and central | south america| united states | sub-saharan africa;protozoan | mosquitos;from(sub-saharan africa);
6, 603, 1, 1, malaria;prophylaxis | chloroquine | mefloquine (lariam)| atovaquone/proguanil (malarone)(pdf)| doxycycline| primaquine;roatán | bay islands | areas below 1000m | swampy regions in the east;in(swampy regions in the east);
6, 405, 3, 1, malaria;chemoprophylaxis;protect yourself from mosquito bites particularly from sunset to sunrise | travellers should consult a health care provider| visit a travel health clinic |;sub-saharan africa |areas in north africa | south asia| southeast asia| parts of east asia | papua new guinea | small islands in the south pacific/oceania region | areas in the middle east and eastern europe;in(sub-saharan africa) | in(north america) | in(central america) | in(south america) | in(south pacific/oceania region) | in(middle east) | in(eastern europe);
6, 405, 4, 0, malaria;chemoprophylaxis;bite of an infected mosquito;
6, 962, 1, 1, malaria;mefloquine| doxycycline| chloroquine| hydroxychloroquine| malarone.;pregnant women should take preventive medications| treatment may need to begin as long as 2 weeks before travel to the area;south america| africa| the indian subcontinent| asia| south pacific;to(south america);
6, 962, 2, 1, malaria;mefloquine| doxycycline| chloroquine| hydroxychloroquine| malarone;wearing protective clothing over the arms and legs| using screens on windows| and using insect repellent| avoid mosquito bites| pregnant women should take preventive medications| treatment may need to begin as long as 2 weeks before travel to the area;south america| africa| the indian subcontinent| asia| south pacific | areas where plasmodium vivax are present| areas where p. oval are present | areas where p. malariae are present | areas where falciparum malaria;to(south america) | in(areas where plasmodium vivax are present);
7, 406, 1, 1, cholera;haiti|leogane|gressier|university of florida(gainesville| fl| usa)|research laboratory;v. cholerae o1;in(haiti)|near(the towns of leogane and gressier)|where(university of florida(gainesville| fl| usa));
7, 406, 2, 0, cholera;haiti|gressier|leogane;vibrio cholerae o1;
7, 454, 1, 0, cholera;international society for infectious diseases|asian and african countries|global infectious disease and epidemiology network.;by (the international society for infectious diseases);
7, 406, 3, 0, cholera;v. cholerae o1;
7, 808, 1, 1, cholera;northern and southern kwazulu natal|south africa|department of water affairs and forestry's community water supply and sanitation services;cholera bacterium;spread (to seven of the nine provinces in south africa);
7, 825, 1, 0, cholera;v. cholerae o1;
7, 1025, 1, 0, cholera;water treatment and safe water storage;world health organization/united nations children�s fund;
8, 407, 1, 0, hepatitis;development of jaundice| liver disease;liver | north america| western and northern europe| australia| and parts of south america;
8, 508, 1, 0, hepatitis;fatigue| anorexia and nausea and right upper quadrant pain |infection of the liver;hepatitis b virus (hbv)|vaginal or anal intercourse | blood-to-blood contact | haring of needles and other equipment by injecting drug users| or 'needlestick' injuries |;
